YYYY MM DD hh mm DIR SPD GDR GSP GMN
2003 01 04 00 10 317 6.9 999 99.0 99
2003 01 04 00 20 324 7.4 999 99.0 99
2003 01 04 00 30 323 7.4 999 99.0 99
2003 01 04 00 40 326 8.4 999 99.0 99
2003 01 04 00 50 324 8.5 999 99.0 99
2003 01 04 01 00 325 8.3 313 10.2 43
2003 01 04 01 10 324 8.3 999 99.0 99
2003 01 04 01 20 324 8.7 999 99.0 99
2003 01 04 01 30 325 8.1 999 99.0 99
2003 01 04 01 40 328 8.5 999 99.0 99
2003 01 04 01 50 327 8.0 999 99.0 99
2003 01 04 02 00 328 7.8 317 10.2 1
2003 01 04 02 10 331 7.6 999 99.0 99
2003 01 04 02 20 331 7.6 999 99.0 99
2003 01 04 02 30 333 8.1 999 99.0 99
2003 01 04 02 40 338 9.4 999 99.0 99
2003 01 04 02 50 334 9.9 999 99.0 99
2003 01 04 03 00 339 9.8 327 12.0 49
2003 01 04 03 10 341 9.9 999 99.0 99
2003 01 04 03 20 341 11.3 999 99.0 99
2003 01 04 03 30 337 11.2 999 99.0 99
2003 01 04 03 40 336 11.2 999 99.0 99
2003 01 04 03 50 339 10.7 999 99.0 99
2003 01 04 04 00 345 10.1 338 13.7 27
2003 01 04 04 10 345 10.2 999 99.0 99
2003 01 04 04 20 352 10.0 999 99.0 99
2003 01 04 04 30 352 10.9 999 99.0 99
2003 01 04 04 40 352 10.3 999 99.0 99
2003 01 04 04 50 351 10.8 999 99.0 99
2003 01 04 05 00 344 10.9 342 13.6 55
2003 01 04 05 10 347 10.0 999 99.0 99
2003 01 04 05 20 348 9.9 999 99.0 99
2003 01 04 05 30 352 9.1 999 99.0 99
2003 01 04 05 40 352 8.9 999 99.0 99
2003 01 04 05 50 351 8.5 999 99.0 99
2003 01 04 06 00 352 8.2 344 12.8 4
2003 01 04 06 10 351 8.1 999 99.0 99
2003 01 04 06 20 350 8.8 999 99.0 99
2003 01 04 06 30 346 8.3 999 99.0 99
2003 01 04 06 40 344 8.9 999 99.0 99
2003 01 04 06 50 345 9.1 999 99.0 99
2003 01 04 07 00 349 8.6 341 11.3 35
2003 01 04 07 10 343 8.6 999 99.0 99
2003 01 04 07 20 345 8.9 999 99.0 99
2003 01 04 07 30 348 8.6 999 99.0 99
2003 01 04 07 40 343 8.5 999 99.0 99
2003 01 04 07 50 346 8.1 999 99.0 99
2003 01 04 08 00 354 8.2 346 11.2 59
2003 01 04 08 10 347 8.1 999 99.0 99
2003 01 04 08 20 347 7.6 999 99.0 99
2003 01 04 08 30 343 8.4 999 99.0 99
2003 01 04 08 40 350 9.2 999 99.0 99
2003 01 04 08 50 348 9.1 999 99.0 99
2003 01 04 09 00 345 8.8 354 11.0 35
2003 01 04 09 10 339 8.6 999 99.0 99
2003 01 04 09 20 340 8.8 999 99.0 99
